date,1. open,2. high,3. low,4. close,5. volume
2025-04-11,3.1500,3.3299,3.0301,3.2000,62713
2025-04-10,3.2800,3.3700,2.9700,3.1500,149287
2025-04-09,2.8500,3.4500,2.7500,3.3200,229641
2025-04-08,3.1600,3.2262,2.8000,2.8400,205195
2025-04-07,3.0600,3.3288,2.9200,3.1700,152335
2025-04-04,3.3300,3.5350,3.0400,3.2200,217737
2025-04-03,3.7400,3.8900,3.5600,3.6300,149910
2025-04-02,3.8900,4.0500,3.6500,3.8700,127607
2025-04-01,3.6000,3.9700,3.6000,3.9400,270203
2025-03-31,3.1600,3.6400,3.1000,3.5500,259885
2025-03-28,3.4700,3.5600,3.1501,3.2400,199267
2025-03-27,3.5300,3.6045,3.3700,3.4800,149627
2025-03-26,3.8600,3.9100,3.5100,3.5600,360894
2025-03-25,4.0200,4.1699,3.8000,3.8600,162156
2025-03-24,4.1000,4.2272,3.9100,4.0100,287503
2025-03-21,4.8800,5.1400,3.7700,4.0200,920773
2025-03-20,4.4000,4.6600,4.2300,4.3400,141608
2025-03-19,5.0000,5.0300,4.2600,4.5400,390796
2025-03-18,4.8100,5.2900,4.7000,5.0000,266863
2025-03-17,5.3800,5.4899,4.5100,4.8400,653689
2025-03-14,6.4200,6.6900,5.5000,5.5300,457971
2025-03-13,6.3100,6.7100,6.0800,6.4200,202489
2025-03-12,7.3200,7.4000,6.2900,6.4900,305067
2025-03-11,6.6400,8.0000,6.5900,7.1300,451445
2025-03-10,9.2900,9.5300,6.3200,6.5300,990590
2025-03-07,8.1800,9.9300,7.6301,9.5700,973474
2025-03-06,7.2700,8.4400,7.2000,8.1000,504549
2025-03-05,6.4500,7.6000,6.3600,7.3900,478489
2025-03-04,6.0000,6.7500,5.6400,6.6100,323563
2025-03-03,6.0200,6.2700,5.7700,6.0000,169075
2025-02-28,5.7900,5.9600,5.6000,5.8900,111941
2025-02-27,6.3100,6.3689,5.7700,5.8200,134354
2025-02-26,6.1200,6.3950,5.8557,6.2800,124464
2025-02-25,5.6000,6.1300,5.4000,6.0500,208989
2025-02-24,5.9000,6.1250,5.6300,5.6600,156292
2025-02-21,6.2800,6.3799,5.7000,5.8200,144646
2025-02-20,6.5200,6.5200,5.6100,6.1800,303939
2025-02-19,6.1200,6.5300,5.9500,6.4200,459217
2025-02-18,5.7700,6.1500,5.4401,5.9500,349803
2025-02-14,5.7400,5.8003,5.2200,5.6400,217021
2025-02-13,5.2700,5.8900,5.2700,5.6400,274822
2025-02-12,4.9500,5.4400,4.8500,5.3500,134527
2025-02-11,5.0200,5.1578,4.9393,5.0000,85479
2025-02-10,5.1800,5.3700,5.0500,5.1900,146904
2025-02-07,5.0500,5.3470,4.9701,5.2200,236148
2025-02-06,5.4500,5.4950,4.7500,4.9400,290038
2025-02-05,5.0600,5.5800,4.8000,5.4200,364064
2025-02-04,4.4500,5.1500,4.2900,5.0000,409063
2025-02-03,3.8700,5.2700,3.8700,4.4300,1569131
2025-01-31,4.0400,4.1500,3.9000,3.9500,91997
2025-01-30,3.7400,4.0757,3.7400,4.0000,478649
2025-01-29,3.5850,3.6600,3.5350,3.6000,29980
2025-01-28,3.6600,3.7499,3.5001,3.5700,55231
2025-01-27,3.7000,3.7500,3.4200,3.6300,73504
2025-01-24,3.7900,3.8500,3.6700,3.7000,73351
2025-01-23,3.7400,3.8900,3.7400,3.8000,56844
2025-01-22,3.8300,3.8600,3.7400,3.7400,44347
2025-01-21,3.6600,3.8499,3.6600,3.8000,46717
2025-01-17,3.7700,4.0500,3.6400,3.6600,266229
2025-01-16,3.8200,3.8200,3.6401,3.7600,32947
2025-01-15,3.6900,3.7900,3.6301,3.7700,39737
2025-01-14,3.6200,3.7000,3.5130,3.6300,29761
2025-01-13,3.6000,3.7500,3.5100,3.5600,91512
2025-01-10,3.7100,3.7400,3.5350,3.7400,56996
2025-01-08,3.8800,3.8800,3.6200,3.7200,67825
2025-01-07,3.9800,4.0600,3.8127,3.8500,73087
2025-01-06,4.1000,4.1500,3.9000,3.9400,90797
2025-01-03,3.6400,4.0800,3.6399,4.0600,197423
2025-01-02,3.4800,3.6400,3.4500,3.6200,95148
2024-12-31,3.5300,3.6600,3.3220,3.4200,109773
2024-12-30,3.8400,3.8400,3.5300,3.5600,95273
2024-12-27,3.8800,3.8900,3.7331,3.8400,56194
2024-12-26,3.9500,4.0139,3.7765,3.8900,68238
2024-12-24,3.7100,4.0000,3.7000,3.9500,89919
2024-12-23,3.6700,3.7680,3.5940,3.6700,47888
2024-12-20,3.4900,3.7836,3.4000,3.6800,75752
2024-12-19,3.8500,3.8560,3.5003,3.5650,69832
2024-12-18,4.1000,4.1800,3.6800,3.7100,155310
2024-12-17,4.2500,4.2500,4.0033,4.1000,70830
2024-12-16,4.3400,4.3900,3.9150,4.2700,223566
2024-12-13,4.4800,4.6600,4.1500,4.2900,166655
2024-12-12,4.1100,4.4900,4.1100,4.4900,414203
2024-12-11,3.8500,4.2200,3.8500,4.1100,116393
2024-12-10,3.9500,4.1000,3.8000,3.8500,82293
2024-12-09,4.0900,4.1599,3.8000,3.9100,116787
2024-12-06,4.0900,4.2119,3.8900,3.9100,76419
2024-12-05,3.9900,4.1000,3.9000,4.0600,65131
2024-12-04,4.2500,4.2800,3.8225,3.9900,101786
2024-12-03,4.0700,4.2100,3.5000,4.1600,316697
2024-12-02,4.2300,4.5900,3.9500,4.0200,442800
2024-11-29,3.6600,4.3600,3.6600,4.0700,343437
2024-11-27,3.4200,3.6200,3.4100,3.5300,64416
2024-11-26,3.5000,3.6900,3.4100,3.4100,107831
2024-11-25,3.5000,3.7200,3.4200,3.4800,114544
2024-11-22,3.6700,3.8360,3.4800,3.4900,150302
2024-11-21,3.4200,3.7700,3.4200,3.6250,225684
2024-11-20,3.2300,3.4800,3.2300,3.3900,47184
