cotacao_id,tempo_id,empresa_id,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,volume
1,20250411,1,3.15,3.3299,3.0301,3.2,62713
2,20250410,1,3.28,3.37,2.97,3.15,149287
3,20250409,1,2.85,3.45,2.75,3.32,229641
4,20250408,1,3.16,3.2262,2.8,2.84,205195
5,20250407,1,3.06,3.3288,2.92,3.17,152335
6,20250404,1,3.33,3.535,3.04,3.22,217737
7,20250403,1,3.74,3.89,3.56,3.63,149910
8,20250402,1,3.89,4.05,3.65,3.87,127607
9,20250401,1,3.6,3.97,3.6,3.94,270203
10,20250331,1,3.16,3.64,3.1,3.55,259885
11,20250328,1,3.47,3.56,3.1501,3.24,199267
12,20250327,1,3.53,3.6045,3.37,3.48,149627
13,20250326,1,3.86,3.91,3.51,3.56,360894
14,20250325,1,4.02,4.1699,3.8,3.86,162156
15,20250324,1,4.1,4.2272,3.91,4.01,287503
16,20250321,1,4.88,5.14,3.77,4.02,920773
17,20250320,1,4.4,4.66,4.23,4.34,141608
18,20250319,1,5.0,5.03,4.26,4.54,390796
19,20250318,1,4.81,5.29,4.7,5.0,266863
20,20250317,1,5.38,5.4899,4.51,4.84,653689
21,20250314,1,6.42,6.69,5.5,5.53,457971
22,20250313,1,6.31,6.71,6.08,6.42,202489
23,20250312,1,7.32,7.4,6.29,6.49,305067
24,20250311,1,6.64,8.0,6.59,7.13,451445
25,20250310,1,9.29,9.53,6.32,6.53,990590
26,20250307,1,8.18,9.93,7.6301,9.57,973474
27,20250306,1,7.27,8.44,7.2,8.1,504549
28,20250305,1,6.45,7.6,6.36,7.39,478489
29,20250304,1,6.0,6.75,5.64,6.61,323563
30,20250303,1,6.02,6.27,5.77,6.0,169075
31,20250228,1,5.79,5.96,5.6,5.89,111941
32,20250227,1,6.31,6.3689,5.77,5.82,134354
33,20250226,1,6.12,6.395,5.8557,6.28,124464
34,20250225,1,5.6,6.13,5.4,6.05,208989
35,20250224,1,5.9,6.125,5.63,5.66,156292
36,20250221,1,6.28,6.3799,5.7,5.82,144646
37,20250220,1,6.52,6.52,5.61,6.18,303939
38,20250219,1,6.12,6.53,5.95,6.42,459217
39,20250218,1,5.77,6.15,5.4401,5.95,349803
40,20250214,1,5.74,5.8003,5.22,5.64,217021
41,20250213,1,5.27,5.89,5.27,5.64,274822
42,20250212,1,4.95,5.44,4.85,5.35,134527
43,20250211,1,5.02,5.1578,4.9393,5.0,85479
44,20250210,1,5.18,5.37,5.05,5.19,146904
45,20250207,1,5.05,5.347,4.9701,5.22,236148
46,20250206,1,5.45,5.495,4.75,4.94,290038
47,20250205,1,5.06,5.58,4.8,5.42,364064
48,20250204,1,4.45,5.15,4.29,5.0,409063
49,20250203,1,3.87,5.27,3.87,4.43,1569131
50,20250131,1,4.04,4.15,3.9,3.95,91997
51,20250130,1,3.74,4.0757,3.74,4.0,478649
52,20250129,1,3.585,3.66,3.535,3.6,29980
53,20250128,1,3.66,3.7499,3.5001,3.57,55231
54,20250127,1,3.7,3.75,3.42,3.63,73504
55,20250124,1,3.79,3.85,3.67,3.7,73351
56,20250123,1,3.74,3.89,3.74,3.8,56844
57,20250122,1,3.83,3.86,3.74,3.74,44347
58,20250121,1,3.66,3.8499,3.66,3.8,46717
59,20250117,1,3.77,4.05,3.64,3.66,266229
60,20250116,1,3.82,3.82,3.6401,3.76,32947
61,20250115,1,3.69,3.79,3.6301,3.77,39737
62,20250114,1,3.62,3.7,3.513,3.63,29761
63,20250113,1,3.6,3.75,3.51,3.56,91512
64,20250110,1,3.71,3.74,3.535,3.74,56996
65,20250108,1,3.88,3.88,3.62,3.72,67825
66,20250107,1,3.98,4.06,3.8127,3.85,73087
67,20250106,1,4.1,4.15,3.9,3.94,90797
68,20250103,1,3.64,4.08,3.6399,4.06,197423
69,20250102,1,3.48,3.64,3.45,3.62,95148
70,20241231,1,3.53,3.66,3.322,3.42,109773
71,20241230,1,3.84,3.84,3.53,3.56,95273
72,20241227,1,3.88,3.89,3.7331,3.84,56194
73,20241226,1,3.95,4.0139,3.7765,3.89,68238
74,20241224,1,3.71,4.0,3.7,3.95,89919
75,20241223,1,3.67,3.768,3.594,3.67,47888
76,20241220,1,3.49,3.7836,3.4,3.68,75752
77,20241219,1,3.85,3.856,3.5003,3.565,69832
78,20241218,1,4.1,4.18,3.68,3.71,155310
79,20241217,1,4.25,4.25,4.0033,4.1,70830
80,20241216,1,4.34,4.39,3.915,4.27,223566
81,20241213,1,4.48,4.66,4.15,4.29,166655
82,20241212,1,4.11,4.49,4.11,4.49,414203
83,20241211,1,3.85,4.22,3.85,4.11,116393
84,20241210,1,3.95,4.1,3.8,3.85,82293
85,20241209,1,4.09,4.1599,3.8,3.91,116787
86,20241206,1,4.09,4.2119,3.89,3.91,76419
87,20241205,1,3.99,4.1,3.9,4.06,65131
88,20241204,1,4.25,4.28,3.8225,3.99,101786
89,20241203,1,4.07,4.21,3.5,4.16,316697
90,20241202,1,4.23,4.59,3.95,4.02,442800
91,20241129,1,3.66,4.36,3.66,4.07,343437
92,20241127,1,3.42,3.62,3.41,3.53,64416
93,20241126,1,3.5,3.69,3.41,3.41,107831
94,20241125,1,3.5,3.72,3.42,3.48,114544
95,20241122,1,3.67,3.836,3.48,3.49,150302
96,20241121,1,3.42,3.77,3.42,3.625,225684
97,20241120,1,3.23,3.48,3.23,3.39,47184
98,20241119,1,3.37,3.5432,3.22,3.26,153759
99,20241118,1,3.14,3.39,3.13,3.33,110002
100,20241115,1,3.14,3.25,3.055,3.23,70733
101,20241114,1,3.0285,3.1074,2.99,3.07,59627
102,20241113,1,3.23,3.23,2.97,2.985,66833
103,20241112,1,3.24,3.2726,3.09,3.17,81883
104,20241111,1,3.31,3.59,3.17,3.17,165724
105,20241108,1,3.12,3.38,3.09,3.3,134739
106,20241107,1,3.03,3.1,2.8001,3.07,90062
107,20241106,1,3.2,3.22,3.0,3.0,83822
108,20241105,1,2.91,3.2105,2.91,2.97,78748
109,20241104,1,2.94,3.08,2.78,2.93,43333
110,20241101,1,3.04,3.04,2.9,2.99,37595
111,20241031,1,3.08,3.122,2.9634,3.03,40515
112,20241030,1,3.03,3.2163,3.03,3.09,30959
113,20241029,1,3.15,3.2,3.01,3.07,36092
114,20241028,1,3.21,3.29,3.1,3.15,39603
115,20241025,1,3.24,3.3,3.03,3.19,62153
116,20241024,1,3.18,3.2699,3.01,3.23,34067
117,20241023,1,3.43,3.4445,3.07,3.19,121493
118,20241022,1,3.43,3.6099,3.3004,3.46,119082
119,20241021,1,3.45,3.52,3.2727,3.45,51677
120,20241018,1,3.59,3.66,3.3,3.49,65265
121,20241017,1,3.4,3.59,3.3208,3.52,65256
122,20241016,1,3.14,3.43,3.14,3.36,47379
123,20241015,1,3.49,3.7738,3.07,3.07,207968
124,20241014,1,3.2,3.6497,3.16,3.46,163979
125,20241011,1,2.88,3.1743,2.88,3.14,66134
126,20241010,1,2.95,2.95,2.8783,2.88,13003
127,20241009,1,2.73,3.09,2.73,2.98,62603
128,20241008,1,2.88,2.9,2.69,2.75,51024
129,20241007,1,3.04,3.045,2.82,2.9,67499
130,20241004,1,2.93,3.1199,2.93,3.01,45080
131,20241003,1,3.03,3.04,2.9331,2.97,43491
132,20241002,1,3.07,3.2783,3.0,3.03,51398
133,20241001,1,3.29,3.3,3.01,3.07,56218
134,20240930,1,3.24,3.3001,3.13,3.23,66711
135,20240927,1,3.49,3.49,3.2,3.26,94323
136,20240926,1,3.5,3.7442,3.3919,3.49,135150
137,20240925,1,3.35,3.48,3.35,3.47,62300
138,20240924,1,3.39,3.59,3.24,3.35,105851
139,20240923,1,3.32,3.42,3.19,3.38,142987
140,20240920,1,3.4,3.4399,3.0,3.16,145483
141,20240919,1,3.46,3.4852,3.2511,3.39,120911
142,20240918,1,3.05,3.877,3.05,3.26,553414
143,20240917,1,3.07,3.37,2.85,3.18,415070
144,20240916,1,2.5,3.1,2.35,2.95,1356800
145,20240913,1,2.29,2.29,2.135,2.17,32196
146,20240912,1,2.12,2.18,2.115,2.1698,36304
147,20240911,1,2.01,2.105,2.01,2.09,10088
148,20240910,1,2.03,2.07,1.98,2.04,13568
149,20240909,1,2.14,2.14,2.01,2.07,12729
150,20240906,1,1.95,2.06,1.9,2.04,30306
151,20240905,1,2.01,2.01,1.86,1.88,75106
152,20240904,1,2.09,2.13,2.0,2.04,43531
153,20240903,1,2.25,2.25,2.0,2.09,59871
154,20240830,1,2.36,2.4,2.25,2.29,40728
155,20240829,1,2.5,2.5,2.32,2.36,43513
156,20240828,1,2.38,2.52,2.3106,2.44,35551
157,20240827,1,2.46,2.49,2.38,2.41,30042
158,20240826,1,2.45,2.45,2.42,2.45,11308
159,20240823,1,2.3999,2.44,2.3101,2.4004,22949
160,20240822,1,2.27,2.29,2.25,2.29,12295
161,20240821,1,2.32,2.33,2.2501,2.27,29807
162,20240820,1,2.36,2.36,2.26,2.29,21891
163,20240819,1,2.2,2.3999,2.19,2.31,62947
164,20240816,1,2.08,2.19,2.08,2.19,15266
165,20240815,1,2.0,2.1374,2.0,2.1248,10317
166,20240814,1,2.11,2.171,1.9,2.05,40019
167,20240813,1,2.22,2.22,2.0911,2.15,27482
168,20240812,1,2.15,2.24,2.04,2.04,31999
169,20240809,1,2.07,2.1966,2.07,2.12,16855
170,20240808,1,1.9856,2.1617,1.98,2.065,35570
171,20240807,1,1.88,2.07,1.88,1.93,52936
172,20240806,1,1.92,1.92,1.62,1.85,141462
173,20240805,1,2.01,2.05,1.5,1.86,113098
174,20240802,1,2.41,2.41,2.12,2.18,60428
175,20240801,1,2.35,2.45,2.2973,2.37,52696
176,20240731,1,2.42,2.45,2.252,2.355,45859
177,20240730,1,2.59,2.6525,2.3063,2.46,35497
178,20240729,1,2.46,2.68,2.385,2.57,77257
179,20240726,1,2.39,2.48,2.32,2.46,32264
180,20240725,1,2.46,2.54,2.2587,2.33,109227
181,20240724,1,2.62,2.7999,2.41,2.43,106724
182,20240723,1,2.97,3.25,2.6901,2.79,200761
